Año,Mes, Siniestro ocurrido 
2019,2," 90,646.82 "
2017,10," 677,784.44 "
2017,9," 127,221.19 "
2019,2," 99,031.45 "
2018,12," 392,603.31 "
2019,4," 599,986.01 "
2018,12," 256,115.63 "
2019,2," 459,668.60 "
2020,1," 205,932.87 "
2018,6," 123,441.98 "
2020,4," 434,796.17 "
2018,9," 2,928,914.28 "
2017,10," 85,728.50 "
2018,9," 404,078.60 "
2017,7," 536,207.25 "
2020,7," 153,644.80 "
2018,11," 81,612.90 "
2019,3," 458,719.68 "
2018,8," 52,125.64 "
2019,9," 193,454.95 "
2019,5," 132,722.06 "
2018,12," 81,321.10 "
2018,7," 192,530.81 "
2018,1," 455,982.04 "
2017,11," 595,831.85 "
2018,12," 60,725.33 "
2019,1," 387,304.38 "
2017,8," 161,008.55 "
2018,8," 289,854.56 "
2019,11," 295,915.40 "
2017,5," 1,112,552.19 "
2018,2," 792,698.05 "
2018,10," 743,266.85 "
2016,5," 106,414.79 "
2019,10," 1,888,982.32 "
2017,6," 94,737.90 "
2016,1," 236,507.12 "
2017,1," 143,854.69 "
2018,4," 264,760.65 "
2016,7," 300,635.31 "
2017,10," 93,453.57 "
2019,2," 625,654.80 "
2020,9," 1,356,193.55 "
2016,5," 160,627.67 "
2017,10," 2,141,274.84 "
2020,6," 2,055,531.77 "
2020,9," 125,264.47 "
2016,5," 810,877.82 "
2020,4," 278,254.92 "
2019,10," 228,110.87 "
2017,8," 1,015,401.13 "
2018,11," 90,588.92 "
2018,12," 117,256.30 "
2018,10," 123,955.77 "
2020,5," 1,728,717.96 "
2017,11," 191,784.20 "
2019,4," 602,140.51 "
2019,5," 1,227,449.28 "
2018,5," 296,954.18 "
2016,12," 381,884.26 "
2016,7," 879,800.93 "
2017,11," 11,185.03 "
2019,4," 408,543.61 "
2018,11," 222,983.47 "
2019,9," 338,897.41 "
2019,12," 1,215,869.87 "
2020,1," 720,729.76 "
2018,10," 165,172.81 "
2018,12," 114,513.46 "
2018,11," 418,268.67 "
2019,11," 344,397.71 "
2018,12," 1,424,991.52 "
2017,8," 723,188.04 "
2019,1," 799,128.05 "
2017,8," 646,306.66 "
2016,7," 852,308.10 "
2019,8," 149,731.00 "
2019,6," 504,940.53 "
2020,4," 220,493.27 "
2020,5," 401,215.92 "
2019,5," 298,977.65 "
2019,2," 86,375.54 "
2018,11," 399,144.67 "
2020,4," 233,750.33 "
2019,2," 158,406.77 "
2019,5," 132,445.92 "
2017,2," 892,197.69 "
2017,5," 1,321,546.28 "
2019,5," 59,292.48 "
2018,11," 225,893.24 "
2016,7," 148,602.14 "
2017,8," 368,976.59 "
2020,4," 391,832.88 "
2019,10," 590,218.52 "
2018,11," 555,560.41 "
2019,4," 369,510.13 "
2018,7," 141,524.29 "
2018,7," 306,191.92 "
2016,7," 266,709.94 "
2019,5," 1,644,334.31 "
2018,8," 30,692.71 "
2018,10," 1,113,820.00 "
2017,7," 3,337,615.78 "
2019,6," 237,049.29 "
2016,7," 335,727.94 "
2017,10," 84,619.52 "
2019,1," 151,787.31 "
2018,7," 502,770.11 "
